,Column1,Nombre Común,Nombre Inglés,Nombre Portugués,Nombre Científico,Registros
311,312,Quetzal Crestado,Crested Quetzal,No Existe Registro,Pharomachrus antisianus,2
312,313,Trogón Ecuatoriano,Ecuadorian Trogon,No Existe Registro,Trogon mesurus,5
313,314,Trogón Colinegro,Black-tailed Trogon,Surucuá-de-cauda-preta,Trogon melanurus,5
314,315,Surucuá de Panza Amarilla,Green-backed Trogon,Surucuá-grande-de-barriga-amarela,Trogon viridis,9
315,316,Trogon Coliblanco,White-tailed Trogon,No Existe Registro,Trogon chionurus,1
316,317,Surucuá Violeta Chico,Violaceous Trogon,Surucuá-violáceo,Trogon violaceus,4
317,318,Surucuá Aurora,Blue-crowned Trogon,Surucuá-de-barriga-vermelha,Trogon curucui,3
318,319,Trogon Collarejo,Collared Trogon,Surucuá-de-coleira,Trogon collaris,6
319,320,Trogon Enmascarado,Masked Trogon,Surucuá-mascarado,Trogon personatus,13
320,321,No Existe Registro,Whooping Motmot,No Existe Registro,Momotus subrufescens,8
321,322,Burgo,Amazonian Motmot,Udu-de-coroa-azul,Momotus momota,1
322,323,Momoto Serrano,Highland Motmot,No Existe Registro,Momotus aequatorialis,2
323,324,Momoto Canelo Mayor,Rufous Motmot,Juruva-ruiva,Baryphthengus martii,7
324,325,Momoto Picoancho,Broad-billed Motmot,Udu-de-bico-largo,Electron platyrhynchum,2
325,326,Martín Pescador Grande,Ringed Kingfisher,Martim-pescador-grande,Megaceryle torquata,18
326,327,Martín Pescador Mediano,Amazon Kingfisher,Martim-pescador-verde,Chloroceryle amazona,4
327,328,Martín Pescador Enano,American Pygmy-kingfisher,Martinho,Chloroceryle aenea,3
328,329,Martín Pescador Chico,Green Kingfisher,Martim-pescador-pequeno,Chloroceryle americana,20
329,330,Martín Pescador Rojizo,Green-and-rufous Kingfisher,Martim-pescador-da-mata,Chloroceryle inda,2
330,331,Guaicurú,Laughing Falcon,Acauã,Herpetotheres cachinnans,6
331,332,Halcón Montés Chico,Barred Forest-falcon,Falcão-caburé,Micrastur ruficollis,3
332,333,Halcón Montés Grande,Collared Forest-falcon,Falcão-relógio,Micrastur semitorquatus,2
333,334,Carancho,Crested Caracara,Carcará,Caracara plancus,8
334,335,Caracara Gorgirrojo,Red-throated Caracara,Gralhão,Ibycter americanus,2
335,336,Caracara Carunculado,Carunculated Caracara,No Existe Registro,Phalcoboenus carunculatus,3
336,337,Chimachima,Yellow-headed Caracara,Carrapateiro,Milvago chimachima,2
337,338,Caracara Negro,Black Caracara,Gavião-de-anta,Daptrius ater,6
338,339,Halconcito Colorado,American Kestrel,Quiriquiri,Falco sparverius,15
339,340,Halcón Negro Chico,Bat Falcon,Cauré,Falco rufigularis,4
340,341,Halcón Peregrino,Peregrine Falcon,Falcão-peregrino,Falco peregrinus,4
341,342,Catita Barrada,Barred Parakeet,No Existe Registro,Bolborhynchus lineola,1
342,343,Periquito Aliblanco,White-winged Parakeet,Periquito-de-asa-branca,Brotogeris versicolurus,10
343,344,Catita Macareña,Grey-cheeked Parakeet,No Existe Registro,Brotogeris pyrrhoptera,14
344,345,Catita Aliazul,Cobalt-winged Parakeet,Periquito-de-asa-azul,Brotogeris cyanoptera,3
345,346,No Existe Registro,Rose-faced Parrot,No Existe Registro,Pyrilia pulchra,1
346,347,Lorito Carinaranja,Orange-cheeked Parrot,Curica-de-bochecha-laranja,Pyrilia barrabandi,1
347,348,Loro Piquirrojo,Red-billed Parrot,No Existe Registro,Pionus sordidus,8
348,349,Loro Cabeciazul,Blue-headed Parrot,Maitaca-de-cabeça-azul,Pionus menstruus,6
349,350,Loro Alibronceado,Bronze-winged Parrot,No Existe Registro,Pionus chalcopterus,13
350,351,No Existe Registro,Lilacine Amazon,No Existe Registro,Amazona lilacina,1
351,352,Loro Nuca Escamada,Scaly-naped Amazon,No Existe Registro,Amazona mercenarius,1
352,353,Loro Harinoso Amazónico,Southern Mealy Amazon,Papagaio-moleiro,Amazona farinosa,2
353,354,Amazona Alinaranja,Orange-winged Amazon,Curica,Amazona amazonica,8
354,355,Cotorrita Celestial,Pacific Parrotlet,No Existe Registro,Forpus coelestis,29
355,356,No Existe Registro,Black-headed Parrot,Marianinha-de-cabeça-preta,Pionites melanocephalus,5
356,357,Cotorra Colinegra,Maroon-tailed Parakeet,Tiriba-fura-mata,Pyrrhura melanura,5
357,358,Cotorra Cuelliblanca,White-necked Parakeet,No Existe Registro,Pyrrhura albipectus,1
358,359,Lorita Pico Negro,Dusky-headed Parakeet,Periquito-de-cabeça-suja,Aratinga weddellii,1
359,360,Guacamayo Azulamarillo,Blue-and-yellow Macaw,Arara-canindé,Ara ararauna,7
360,361,Guacamayo Verde,Military Macaw,No Existe Registro,Ara militaris,2
361,362,Guacamayo Macao,Scarlet Macaw,Araracanga,Ara macao,3
362,363,Guacamayo Severo,Chestnut-fronted Macaw,Maracanã-guaçu,Ara severus,6
363,364,Aratinga de Guayaquil,Red-masked Parakeet,No Existe Registro,Psittacara erythrogenys,16
364,365,Calancate Ala Roja,White-eyed Parakeet,Periquitão-maracanã,Psittacara leucophthalmus,4
365,366,Hormiguerito del Pacífico,Pacific Antwren,No Existe Registro,Myrmotherula pacifica,2
366,367,Hormiguerito Pechilistado,Stripe-chested Antwren,No Existe Registro,Myrmotherula longicauda,1
367,368,Hormiguerito Pizarroso,Slaty Antwren,No Existe Registro,Myrmotherula schisticolor,4
368,369,Hormiguerito Alilargo,Long-winged Antwren,Choquinha-de-asa-comprida,Myrmotherula longipennis,1
369,370,No Existe Registro,Plain-throated Antwren,Choquinha-de-garganta-clara,Isleria hauxwelli,1
370,371,Choca Amarilla,Plain Antvireo,Choquinha-lisa,Dysithamnus mentalis,4
371,372,Hormiguerito Pechiamarillo,Yellow-breasted Antwren,No Existe Registro,Herpsilochmus axillaris,3
