;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
733;;;Arañero Cabecinegro;Black-crested Warbler;;Myiothlypis nigrocristata;5
734;;;Reinita Lomihabana;Buff-rumped Warbler;Pula-pula-de-cauda-avermelhada;Myiothlypis fulvicauda;4
735;;;;Grey-and-gold Warbler;;Myiothlypis fraseri;8
736;;;Reinita Coronirroja;Russet-crowned Warbler;;Myiothlypis coronata;8
737;;;Reinita Cabecilistada;Three-striped Warbler;;Basileuterus tristriatus;7
738;;;Reinita Tribandeada;Three-banded Warbler;;Basileuterus trifasciatus;1
739;;;;Canada Warbler;Mariquita-do-canadá;Cardellina canadensis;4
740;;;Candelita Plomiza;Slate-throated Whitestart;Mariquita-cinza;Myioborus miniatus;19
741;;;Bijirita de Anteojos;Spectacled Whitestart;;Myioborus melanocephalus;7
742;;Cardinalidae;Picogrueso Ventriamarillo;Golden Grosbeak;;Pheucticus chrysogaster;31
743;;;Rey del Bosque;Black-backed Grosbeak;Rei-do-bosque;Pheucticus aureoventris;1
744;;;Picogrueso Pechirrosado;Rose-breasted Grosbeak;;Pheucticus ludovicianus;1
745;;;Picogrueso Negro Azulado;Blue-black Grosbeak;;Cyanoloxia cyanoides;2
746;;;Reinamora Amazónica;Amazonian Grosbeak;Azulão-da-amazônia;Cyanoloxia rothschildii;1
747;;;Tangara Pechiocrácea;Ochre-breasted Tanager;;Habia stolzmanni;2
748;;;Piranga Capuchirroja;Red-hooded Tanager;;Piranga rubriceps;1
749;;;Tangara Aliblanca;White-winged Tanager;Sanhaçu-de-asa-branca;Piranga leucoptera;6
750;;;Tangara Veranera;Summer Tanager;Sanhaçu-vermelho;Piranga rubra;9
751;;;Tangará Encinera;Hepatic Tanager;;Piranga hepatica;3
752;;Thraupidae;;;;Geospiza sp.;4
753;;;;;;Sporophila sp.;1
754;;;;;;Tangara sp.;1
755;;;Diadema;Plushcap;;Catamblyrhynchus diadema;1
756;;;Yal Platero;Band-tailed Sierra-finch;;Corydospiza alaudina;1
757;;;Mielero Verde;Green Honeycreeper;Saí-verde;Chlorophanes spiza;4
758;;;;Golden-collared Honeycreeper;;Iridophanes pulcherrimus;3
759;;;Tangara Cejiescarlata;Scarlet-browed Tanager;;Heterospingus xanthopygius;1
760;;;Saíra Dorada;Guira Tanager;Saíra-de-papo-preto;Hemithraupis guira;2
761;;;Tersina;Swallow Tanager;Saí-andorinha;Tersina viridis;5
762;;;Mielerito Cerúleo;Purple Honeycreeper;Saí-de-perna-amarela;Cyanerpes caeruleus;2
763;;;Saí Azul;Blue Dacnis;Saí-azul;Dacnis cayana;3
764;;;Dacnis Ventriamarillo;Yellow-bellied Dacnis;Saí-amarela;Dacnis flaviventer;1
765;;;Mielero de Cara Negra;Black-faced Dacnis;Saí-de-máscara-preta;Dacnis lineata;6
766;;;Pepitero Gris;Amazonian Grey Saltator;Sabiá-gongá;Saltator coerulescens;5
767;;;Pepitero Listado;Streaked Saltator;;Saltator striatipectus;17
768;;;Pepitero Garganta Canela;Buff-throated Saltator;Tempera-viola;Saltator maximus;18
769;;;Saltador Alinegro;Black-winged Saltator;;Saltator atripennis;9
