codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;APREHENDIDO;IMPORTADA;1/1/2024;9:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.006;ARMA DE FUEGO;CARTUCHERAS;1;OTRO;SE DESCONOCE;APREHENDIDO;ARTESANAL;1/1/2024;10:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 9;17D08;17D08C10;17D08C10S01;ZONA 9;LOS CHILLOS;LA MERCED;LA MERCED 1;17;1701;170164;PICHINCHA;QUITO;LA MERCED;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.008;ARMA DE FUEGO;FUSILES;1;223(5.56 mm);AUTOMÁTICO;RETENIDO;IMPORTADA;1/1/2024;13:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D24;09D24C05;09D24C05S04;ZONA 8;DURAN;RECREO;RECREO 4;9;907;90750;GUAYAS;DURAN;ELOY ALFARO (DURAN);DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;17:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 7;19D01;19D01C06;19D01C06S01;ZONA 7;ZAMORA;MANBIJA;NAMBIJA 1;19;1901;190151;ZAMORA CHINCHIPE;ZAMORA;CUMBARATZA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;1/1/2024;20:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D02;13D02C07;13D02C07S02;ZONA 4;MANTA;CENTRO;CENTRO 2;13;1308;130850;MANABI;MANTA;MANTA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;2/1/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;2/1/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.15.001;ARMAS DE FOGUEO;PISTOLA;1;9 mm;TIRO A TIRO;RETENIDO;IMPORTADA;1/1/2024;10:10;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.15.001;ARMAS DE FOGUEO;PISTOLA;1;9 mm;AUTOMÁTICO;ABANDONADO;IMPORTADA;1/1/2024;11:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 9;17D01;17D01C03;17D01C03S01;ZONA 9;NANEGAL;NANEGAL;NANEGAL 1;17;1701;170168;PICHINCHA;QUITO;NANEGAL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;2/1/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;2/1/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.22;TIRO A TIRO;ABANDONADO;ARTESANAL;1/1/2024;5:00;ÁREAS DE ACCESO PUBLICO;TROCHA;ZONA 1;04D01;04D01C10;04D01C10S01;ZONA 1;TULCAN;JULIO ANDRADE;JULIO ANDRADE 1;4;401;40153;CARCHI;TULCAN;JULIO ANDRADE (OREJUELA);DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;TIRO A TIRO;APREHENDIDO;ARTESANAL;2/1/2024;2:15;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 5;09D17;09D17C04;09D17C04S01;ZONA 5;MILAGRO;MAR NEGRO;MAR NEGRO 1;9;910;91050;GUAYAS;MILAGRO;MILAGRO;DELITOS CONTRA LA LIBERTAD PERSONAL
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.22;TIRO A TIRO;ABANDONADO;IMPORTADA;2/1/2024;12:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 7;11D06;11D06C02;11D06C02S01;ZONA 7;CALVAS;CARIAMANGA ESTE;CARIAMANGA ESTE 1;11;1102;110250;LOJA;CALVAS;CARIAMANGA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;2/1/2024;16:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;24D02;24D02C04;24D02C04S01;ZONA 5;LIBERTAD SALINAS;ENRIQUEZ GALLO;ENRIQUEZ GALLO 1;24;2402;240250;SANTA ELENA;LA LIBERTAD;LA LIBERTAD;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;TIRO A TIRO;APREHENDIDO;IMPORTADA;2/1/2024;16:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;24D02;24D02C04;24D02C04S01;ZONA 5;LIBERTAD SALINAS;ENRIQUEZ GALLO;ENRIQUEZ GALLO 1;24;2402;240250;SANTA ELENA;LA LIBERTAD;LA LIBERTAD;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;APREHENDIDO;IMPORTADA;2/1/2024;22:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D03;09D03C03;09D03C03S02;ZONA 8;9 DE OCTUBRE;9 DE OCTUBRE;9 DE OCTUBRE 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;TIRO A TIRO;APREHENDIDO;ARTESANAL;3/1/2024;12:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D01;09D01C02;09D01C02S03;ZONA 8;SUR;UNION DE BANANEROS;UNION DE BANANEROS 3;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;3/1/2024;16:50;ÁREAS DE ACCESO PUBLICO;RÍO;ZONA 1;08D01;08D01C04;08D01C04S01;ZONA 1;ESMERALDAS;LA TOLITA;LA TOLITA 1;8;801;80150;ESMERALDAS;ESMERALDAS;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
