Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Norwalk,Yes,88816,79402,89.4,71340,80.32,38952,43.86,09/07/2022
Norwich,Yes,38768,29191,75.3,26598,68.61,14459,37.3,09/07/2022
Old Lyme,No,7306,6674,91.35,6254,85.6,4422,60.53,09/07/2022
Old Saybrook,No,10061,9422,93.65,8857,88.03,6105,60.68,09/07/2022
Orange,Yes,13926,12645,90.8,11855,85.13,7849,56.36,09/07/2022
Oxford,No,13255,10093,76.14,9536,71.94,5933,44.76,09/07/2022
Plainfield,Yes,15125,9929,65.65,9307,61.53,5008,33.11,09/07/2022
Plainville,No,17534,13492,76.95,12795,72.97,7845,44.74,09/07/2022
Plymouth,No,11598,7872,67.87,7536,64.98,4425,38.15,09/07/2022
Pomfret,No,4203,3330,79.23,3015,71.73,1836,43.68,09/07/2022
Portland,No,9267,7791,84.07,7420,80.07,4991,53.86,09/07/2022
Preston,No,4625,3527,76.26,3332,72.04,2081,44.99,09/07/2022
Prospect,No,9702,7444,76.73,7108,73.26,4380,45.15,09/07/2022
Putnam,No,9389,6367,67.81,5834,62.14,3132,33.36,09/07/2022
Redding,No,9116,7690,84.36,7045,77.28,4779,52.42,09/07/2022
Ridgefield,No,24959,22825,91.45,20751,83.14,13350,53.49,09/07/2022
Rocky Hill,No,20115,17904,89.01,16764,83.34,10942,54.4,09/07/2022
Roxbury,No,2152,1927,89.54,1787,83.04,1171,54.41,09/07/2022
Salem,No,4083,3411,83.54,3198,78.32,2050,50.21,09/07/2022
Salisbury,No,3600,3962,100,3530,98.06,1904,52.89,09/07/2022
Scotland,No,1672,1071,64.06,1034,61.84,631,37.74,09/07/2022
Seymour,No,16437,12549,76.35,11807,71.83,6743,41.02,09/07/2022
Sharon,No,2689,2051,76.27,1869,69.51,1005,37.37,09/07/2022
Shelton,No,41129,33034,80.32,31005,75.38,19120,46.49,09/07/2022
Sherman,No,3630,2729,75.18,2520,69.42,1507,41.52,09/07/2022
Simsbury,No,25395,22917,90.24,21226,83.58,14478,57.01,09/07/2022
Somers,No,10784,7484,69.4,6897,63.96,3990,37,09/07/2022
South Windsor,No,26162,24033,91.86,22419,85.69,14950,57.14,09/07/2022
Southbury,No,19571,16345,83.52,15275,78.05,10233,52.29,09/07/2022
Southington,No,43834,35698,81.44,33973,77.5,21929,50.03,09/07/2022
Sprague,No,2859,1971,68.94,1843,64.46,1076,37.64,09/07/2022
Stafford,No,11893,7663,64.43,7156,60.17,4210,35.4,09/07/2022
Stamford,Yes,129638,122069,94.16,107479,82.91,56921,43.91,09/07/2022
Sterling,No,3782,2271,60.05,2132,56.37,1116,29.51,09/07/2022
Stonington,No,18559,15983,86.12,14938,80.49,10142,54.65,09/07/2022
Stratford,No,51849,41531,80.1,38633,74.51,22287,42.98,09/07/2022
Suffield,No,15814,11858,74.98,10852,68.62,6105,38.61,09/07/2022
Thomaston,No,7535,5635,74.78,5340,70.87,3175,42.14,09/07/2022
Thompson,No,9379,5383,57.39,4923,52.49,2629,28.03,09/07/2022
Tolland,No,14618,12248,83.79,11636,79.6,7627,52.18,09/07/2022
Torrington,Yes,34044,26376,77.48,24776,72.78,14433,42.4,09/07/2022
Trumbull,No,35673,32573,91.31,30303,84.95,18850,52.84,09/07/2022
Union,No,839,576,68.65,539,64.24,364,43.38,09/07/2022
Vernon,Yes,29359,23841,81.21,22221,75.69,13568,46.21,09/07/2022
Voluntown,No,2510,1927,76.77,1829,72.87,1077,42.91,09/07/2022
Wallingford,No,44326,37096,83.69,34859,78.64,22649,51.1,09/07/2022
Warren,No,1395,1099,78.78,1011,72.47,633,45.38,09/07/2022
Washington,No,3428,3318,96.79,2860,83.43,1742,50.82,09/07/2022
Waterbury,Yes,107568,77664,72.2,69933,65.01,30773,28.61,09/07/2022
Waterford,Yes,18746,16466,87.84,15532,82.86,10236,54.6,09/07/2022
Watertown,No,21578,17044,78.99,16047,74.37,9521,44.12,09/07/2022
West Hartford,Yes,62965,60105,95.46,55281,87.8,37752,59.96,09/07/2022
West Haven,Yes,54620,42947,78.63,39286,71.93,21327,39.05,09/07/2022
Westbrook,No,6869,5983,87.1,5583,81.28,3751,54.61,09/07/2022
Weston,No,10252,9833,95.91,8856,86.38,5994,58.47,09/07/2022
Westport,No,28491,27226,95.56,24439,85.78,16953,59.5,09/07/2022
Wethersfield,No,26008,23412,90.02,22108,85,14281,54.91,09/07/2022
Willington,No,5864,4072,69.44,3802,64.84,2457,41.9,09/07/2022
Wilton,No,18343,17750,96.77,16092,87.73,10670,58.17,09/07/2022
Winchester,Yes,10604,7617,71.83,7150,67.43,4335,40.88,09/07/2022
Windham,Yes,24561,17274,70.33,15847,64.52,8383,34.13,09/07/2022
Windsor,No,28733,25089,87.32,23345,81.25,14570,50.71,09/07/2022
Windsor Locks,Yes,12854,9682,75.32,9027,70.23,5536,43.07,09/07/2022
Wolcott,No,16587,12425,74.91,11787,71.06,6633,39.99,09/07/2022
Woodbridge,No,8750,8327,95.17,7702,88.02,5391,61.61,09/07/2022
Woodbury,No,9502,7696,80.99,7282,76.64,4704,49.51,09/07/2022
Woodstock,No,7858,5877,74.79,5364,68.26,3173,40.38,09/07/2022
Address pending validation,,,12265,,9941,,3230,,09/14/2022
Andover,No,3236,2472,76.39,2368,73.18,1570,48.52,09/14/2022
Ansonia,Yes,18654,13530,72.53,12632,67.72,6885,36.91,09/14/2022
Ashford,No,4255,3121,73.35,2943,69.17,1896,44.56,09/14/2022
Avon,No,18276,17684,96.76,16406,89.77,11496,62.9,09/14/2022
Barkhamsted,No,3606,2833,78.56,2703,74.96,1809,50.17,09/14/2022
Beacon Falls,No,6222,4523,72.69,4281,68.8,2686,43.17,09/14/2022
Berlin,No,20436,16535,80.91,15686,76.76,10447,51.12,09/14/2022
Bethany,No,5548,4548,81.98,4280,77.14,2776,50.04,09/14/2022
Bethel,No,19800,16537,83.52,15274,77.14,9123,46.08,09/14/2022
Bethlehem,No,3402,2446,71.9,2304,67.72,1429,42,09/14/2022
Bloomfield,No,21211,18216,85.88,16869,79.53,10606,50,09/14/2022
Bolton,No,4884,4018,82.27,3815,78.11,2620,53.64,09/14/2022
Bozrah,No,2726,1876,68.82,1780,65.3,1161,42.59,09/14/2022
Branford,No,27900,23545,84.39,22011,78.89,15033,53.88,09/14/2022
Bridgeport,Yes,144399,107999,74.79,96116,66.56,40212,27.85,09/14/2022
Bridgewater,No,1635,1409,86.18,1305,79.82,867,53.03,09/14/2022
Bristol,Yes,59947,47129,78.62,44294,73.89,25763,42.98,09/14/2022
Brookfield,No,16973,14580,85.9,13540,79.77,8225,48.46,09/14/2022
Brooklyn,No,8272,5889,71.19,5457,65.97,3267,39.49,09/14/2022
Burlington,No,9704,7881,81.21,7545,77.75,5035,51.89,09/14/2022
Canaan,No,1053,1354,100,1237,100,790,75.02,09/14/2022
Canterbury,No,5079,3612,71.12,3408,67.1,2002,39.42,09/14/2022
Canton,No,10254,8475,82.65,7975,77.77,5427,52.93,09/14/2022
Chaplin,No,2239,1612,72,1503,67.13,927,41.4,09/14/2022
Cheshire,No,28937,25460,87.98,23912,82.63,16612,57.41,09/14/2022
Chester,No,4213,3401,80.73,3204,76.05,2263,53.71,09/14/2022
Clinton,No,12925,11512,89.07,10787,83.46,7188,55.61,09/14/2022
Colchester,No,15809,12917,81.71,12205,77.2,7967,50.4,09/14/2022
Colebrook,No,1400,1144,81.71,1070,76.43,695,49.64,09/14/2022
Columbia,No,5379,4214,78.34,4005,74.46,2667,49.58,09/14/2022
Cornwall,No,1362,1304,95.74,1182,86.78,790,58,09/14/2022
Coventry,No,12407,9744,78.54,9272,74.73,5890,47.47,09/14/2022
Cromwell,No,13839,12261,88.6,11657,84.23,7625,55.1,09/14/2022
Danbury,Yes,84694,73802,87.14,65815,77.71,30059,35.49,09/14/2022
Darien,No,21728,21077,97,18788,86.47,11756,54.11,09/14/2022
Deep River,No,4443,3874,87.19,3657,82.31,2533,57.01,09/14/2022
Derby,Yes,12339,12921,100,11250,91.17,5961,48.31,09/14/2022
Durham,No,7165,5899,82.33,5640,78.72,3857,53.83,09/14/2022
East Granby,No,5140,4237,82.43,3990,77.63,2488,48.4,09/14/2022
East Haddam,No,8997,7120,79.14,6654,73.96,4299,47.78,09/14/2022
East Hampton,No,12800,10189,79.6,9690,75.7,6331,49.46,09/14/2022
East Hartford,Yes,49872,41230,82.67,37923,76.04,19541,39.18,09/14/2022
East Haven,Yes,28569,20975,73.42,19465,68.13,11498,40.25,09/14/2022
East Lyme,No,18462,16605,89.94,15455,83.71,10696,57.94,09/14/2022
East Windsor,No,11668,8448,72.4,7830,67.11,4635,39.72,09/14/2022
Eastford,No,1790,1167,65.2,1102,61.56,678,37.88,09/14/2022
Easton,No,7521,6588,87.59,6047,80.4,3904,51.91,09/14/2022
Ellington,No,16467,13203,80.18,12374,75.14,7801,47.37,09/14/2022
Enfield,Yes,43659,30579,70.04,28305,64.83,15917,36.46,09/14/2022
Essex,No,6668,5976,89.62,5604,84.04,4075,61.11,09/14/2022
Fairfield,No,62045,52750,85.02,48238,77.75,31260,50.38,09/14/2022
Farmington,No,25497,24013,94.18,22356,87.68,15150,59.42,09/14/2022
Franklin,No,1920,1432,74.58,1360,70.83,872,45.42,09/14/2022
Glastonbury,No,34482,31844,92.35,29786,86.38,20942,60.73,09/14/2022
Goshen,No,2863,2281,79.67,2154,75.24,1420,49.6,09/14/2022
Granby,No,11507,9059,78.73,8484,73.73,5228,45.43,09/14/2022
Greenwich,No,62840,57380,91.31,50854,80.93,28508,45.37,09/14/2022
Griswold,Yes,11534,7756,67.24,7275,63.07,4228,36.66,09/14/2022
Groton,Yes,38436,28444,74,25991,67.62,15782,41.06,09/14/2022
Guilford,No,22133,20411,92.22,19105,86.32,13671,61.77,09/14/2022
Haddam,No,8193,7314,89.27,6919,84.45,4652,56.78,09/14/2022
Hamden,No,60556,47553,78.53,43957,72.59,28064,46.34,09/14/2022
Hampton,No,1842,1285,69.76,1202,65.26,809,43.92,09/14/2022
Hartford,Yes,122105,85535,70.05,75850,62.12,34403,28.17,09/14/2022
Hartland,No,2120,1357,64.01,1282,60.47,728,34.34,09/14/2022
Harwinton,No,5420,4200,77.49,3977,73.38,2612,48.19,09/14/2022
Hebron,No,9504,7715,81.18,7319,77.01,4989,52.49,09/14/2022
Kent,No,2777,2775,99.93,2448,88.15,1371,49.37,09/14/2022
Killingly,Yes,17336,11649,67.2,10854,62.61,5811,33.52,09/14/2022
Killingworth,No,6364,5326,83.69,5081,79.84,3508,55.12,09/14/2022
Lebanon,No,7144,5426,75.95,5138,71.92,3385,47.38,09/14/2022
Ledyard,No,14621,11986,81.98,11165,76.36,6863,46.94,09/14/2022
Lisbon,No,4220,3110,73.7,2931,69.45,1744,41.33,09/14/2022
Litchfield,No,8094,6686,82.6,6223,76.88,4180,51.64,09/14/2022
Lyme,No,2316,2263,97.71,2091,90.28,1545,66.71,09/14/2022
Madison,No,18030,16939,93.95,15727,87.23,11174,61.97,09/14/2022
Manchester,Yes,57584,46976,81.58,43482,75.51,25715,44.66,09/14/2022
Mansfield,No,25487,12205,47.89,10771,42.26,7379,28.95,09/14/2022
Marlborough,No,6335,5264,83.09,4985,78.69,3336,52.66,09/14/2022
Meriden,Yes,59395,47782,80.45,44460,74.85,24380,41.05,09/14/2022
Middlebury,No,7798,6511,83.5,6092,78.12,3832,49.14,09/14/2022
Middlefield,No,4374,3514,80.34,3357,76.75,2301,52.61,09/14/2022
Middletown,Yes,46258,38671,83.6,36122,78.09,22374,48.37,09/14/2022
Milford,Yes,54747,43988,80.35,41216,75.28,26372,48.17,09/14/2022
Monroe,No,19434,16104,82.87,15116,77.78,9378,48.26,09/14/2022
Montville,Yes,18508,14007,75.68,12952,69.98,7542,40.75,09/14/2022
Morris,No,2254,1704,75.6,1602,71.07,962,42.68,09/14/2022
Naugatuck,No,31108,23288,74.86,21630,69.53,11547,37.12,09/14/2022
New Britain,Yes,72495,49944,68.89,45969,63.41,22213,30.64,09/14/2022
New Canaan,No,20233,20457,100,18251,90.2,11766,58.15,09/14/2022
New Fairfield,No,13878,11219,80.84,10254,73.89,5945,42.84,09/14/2022
New Hartford,No,6656,5279,79.31,4981,74.83,3284,49.34,09/14/2022
New Haven,Yes,130250,101878,78.22,89312,68.57,47665,36.6,09/14/2022
New London,Yes,26858,20545,76.49,18532,69,9599,35.74,09/14/2022
New Milford,No,26805,22765,84.93,21102,78.72,11866,44.27,09/14/2022
Newington,No,30014,25544,85.11,24125,80.38,15664,52.19,09/14/2022
Newtown,No,27891,23740,85.12,22125,79.33,14223,50.99,09/14/2022
Norfolk,No,1630,1252,76.81,1166,71.53,792,48.59,09/14/2022
North Branford,No,14146,11933,84.36,11249,79.52,7354,51.99,09/14/2022
North Canaan,No,3251,2121,65.24,1941,59.7,1177,36.2,09/14/2022
North Haven,No,23683,22033,93.03,20756,87.64,13568,57.29,09/14/2022
North Stonington,No,5196,3892,74.9,3689,71,2339,45.02,09/14/2022
Norwalk,Yes,88816,79401,89.4,71397,80.39,39021,43.93,09/14/2022
Norwich,Yes,38768,29191,75.3,26607,68.63,14465,37.31,09/14/2022
Old Lyme,No,7306,6674,91.35,6267,85.78,4431,60.65,09/14/2022
Old Saybrook,No,10061,9425,93.68,8875,88.21,6117,60.8,09/14/2022
Orange,Yes,13926,12644,90.79,11870,85.24,7863,56.46,09/14/2022
Oxford,No,13255,10102,76.21,9544,72,5938,44.8,09/14/2022
Plainfield,Yes,15125,9922,65.6,9302,61.5,5006,33.1,09/14/2022
Plainville,No,17534,13496,76.97,12801,73.01,7850,44.77,09/14/2022
Plymouth,No,11598,7863,67.8,7533,64.95,4425,38.15,09/14/2022
Pomfret,No,4203,3337,79.4,3024,71.95,1842,43.83,09/14/2022
Portland,No,9267,7792,84.08,7428,80.16,5002,53.98,09/14/2022
Preston,No,4625,3531,76.35,3337,72.15,2084,45.06,09/14/2022
Prospect,No,9702,7448,76.77,7114,73.33,4390,45.25,09/14/2022
Putnam,No,9389,6374,67.89,5838,62.18,3136,33.4,09/14/2022
Redding,No,9116,7691,84.37,7045,77.28,4790,52.54,09/14/2022
Ridgefield,No,24959,22847,91.54,20775,83.24,13374,53.58,09/14/2022
Rocky Hill,No,20115,17915,89.06,16783,83.44,10965,54.51,09/14/2022
Roxbury,No,2152,1923,89.36,1783,82.85,1169,54.32,09/14/2022
Salem,No,4083,3412,83.57,3201,78.4,2050,50.21,09/14/2022
Salisbury,No,3600,3966,100,3535,98.19,1909,53.03,09/14/2022
Scotland,No,1672,1071,64.06,1034,61.84,631,37.74,09/14/2022
Seymour,No,16437,12555,76.38,11814,71.87,6750,41.07,09/14/2022
Sharon,No,2689,2048,76.16,1866,69.39,1004,37.34,09/14/2022
Shelton,No,41129,33058,80.38,31037,75.46,19153,46.57,09/14/2022
Sherman,No,3630,2723,75.01,2521,69.45,1508,41.54,09/14/2022
Simsbury,No,25395,22924,90.27,21264,83.73,14503,57.11,09/14/2022
Somers,No,10784,7486,69.42,6906,64.04,4001,37.1,09/14/2022
South Windsor,No,26162,24048,91.92,22448,85.8,14968,57.21,09/14/2022
Southbury,No,19571,16345,83.52,15282,78.08,10240,52.32,09/14/2022
Southington,No,43834,35725,81.5,34013,77.6,21967,50.11,09/14/2022
Sprague,No,2859,1968,68.84,1841,64.39,1077,37.67,09/14/2022
Stafford,No,11893,7659,64.4,7160,60.2,4215,35.44,09/14/2022
Stamford,Yes,129638,122145,94.22,107586,82.99,57029,43.99,09/14/2022
Sterling,No,3782,2271,60.05,2134,56.43,1117,29.53,09/14/2022
Stonington,No,18559,15987,86.14,14951,80.56,10157,54.73,09/14/2022
Stratford,No,51849,41565,80.17,38667,74.58,22320,43.05,09/14/2022
Suffield,No,15814,11861,75,10861,68.68,6104,38.6,09/14/2022
Thomaston,No,7535,5630,74.72,5338,70.84,3175,42.14,09/14/2022
Thompson,No,9379,5382,57.38,4923,52.49,2633,28.07,09/14/2022
Tolland,No,14618,12251,83.81,11645,79.66,7641,52.27,09/14/2022
Torrington,Yes,34044,26383,77.5,24790,72.82,14455,42.46,09/14/2022
Trumbull,No,35673,32584,91.34,30333,85.03,18882,52.93,09/14/2022
Union,No,839,576,68.65,539,64.24,364,43.38,09/14/2022
Vernon,Yes,29359,23850,81.24,22231,75.72,13568,46.21,09/14/2022
Voluntown,No,2510,1930,76.89,1832,72.99,1081,43.07,09/14/2022
Wallingford,No,44326,37112,83.73,34890,78.71,22687,51.18,09/14/2022
Warren,No,1395,1105,79.21,1015,72.76,636,45.59,09/14/2022
Washington,No,3428,3313,96.65,2852,83.2,1742,50.82,09/14/2022
Waterbury,Yes,107568,77701,72.23,69973,65.05,30791,28.62,09/14/2022
Waterford,Yes,18746,16484,87.93,15561,83.01,10261,54.74,09/14/2022
Watertown,No,21578,17043,78.98,16048,74.37,9528,44.16,09/14/2022
West Hartford,Yes,62965,60124,95.49,55340,87.89,37821,60.07,09/14/2022
West Haven,Yes,54620,42977,78.68,39311,71.97,21346,39.08,09/14/2022
Westbrook,No,6869,5978,87.03,5583,81.28,3752,54.62,09/14/2022
Weston,No,10252,9831,95.89,8877,86.59,6010,58.62,09/14/2022
Westport,No,28491,27238,95.6,24482,85.93,16986,59.62,09/14/2022
Wethersfield,No,26008,23410,90.01,22117,85.04,14300,54.98,09/14/2022
Willington,No,5864,4074,69.47,3810,64.97,2462,41.98,09/14/2022
Wilton,No,18343,17756,96.8,16120,87.88,10690,58.28,09/14/2022
Winchester,Yes,10604,7621,71.87,7159,67.51,4341,40.94,09/14/2022
Windham,Yes,24561,17299,70.43,15875,64.63,8405,34.22,09/14/2022
Windsor,No,28733,25093,87.33,23367,81.32,14580,50.74,09/14/2022
Windsor Locks,Yes,12854,9689,75.38,9036,70.3,5542,43.11,09/14/2022
Wolcott,No,16587,12420,74.88,11788,71.07,6634,40,09/14/2022
Woodbridge,No,8750,8325,95.14,7712,88.14,5397,61.68,09/14/2022
Woodbury,No,9502,7693,80.96,7287,76.69,4716,49.63,09/14/2022
Woodstock,No,7858,5881,74.84,5369,68.33,3175,40.4,09/14/2022
Rocky Hill,No,20115,17919,89.08,16798,83.51,10967,54.52,09/21/2022
Roxbury,No,2152,1917,89.08,1780,82.71,1166,54.18,09/21/2022
Salem,No,4083,3411,83.54,3201,78.4,2051,50.23,09/21/2022
Salisbury,No,3600,3968,100,3536,98.22,1912,53.11,09/21/2022
Scotland,No,1672,1071,64.06,1033,61.78,630,37.68,09/21/2022
Seymour,No,16437,12556,76.39,11818,71.9,6751,41.07,09/21/2022
Sharon,No,2689,2045,76.05,1864,69.32,1006,37.41,09/21/2022
Shelton,No,41129,33077,80.42,31065,75.53,19179,46.63,09/21/2022
Sherman,No,3630,2725,75.07,2526,69.59,1514,41.71,09/21/2022
Simsbury,No,25395,22930,90.29,21303,83.89,14543,57.27,09/21/2022
Somers,No,10784,7487,69.43,6912,64.09,4010,37.18,09/21/2022
South Windsor,No,26162,24051,91.93,22474,85.9,14982,57.27,09/21/2022
Southbury,No,19571,16348,83.53,15294,78.15,10260,52.42,09/21/2022
Southington,No,43834,35728,81.51,34031,77.64,21979,50.14,09/21/2022
Sprague,No,2859,1970,68.91,1841,64.39,1076,37.64,09/21/2022
Stafford,No,11893,7660,64.41,7165,60.25,4223,35.51,09/21/2022
Stamford,Yes,129638,122112,94.19,107678,83.06,57112,44.05,09/21/2022
Sterling,No,3782,2274,60.13,2140,56.58,1122,29.67,09/21/2022
Stonington,No,18559,15987,86.14,14953,80.57,10182,54.86,09/21/2022
Stratford,No,51849,41567,80.17,38687,74.61,22344,43.09,09/21/2022
Suffield,No,15814,11859,74.99,10860,68.67,6099,38.57,09/21/2022
Thomaston,No,7535,5630,74.72,5343,70.91,3178,42.18,09/21/2022
Thompson,No,9379,5385,57.42,4928,52.54,2638,28.13,09/21/2022
Tolland,No,14618,12254,83.83,11651,79.7,7655,52.37,09/21/2022
Torrington,Yes,34044,26408,77.57,24822,72.91,14477,42.52,09/21/2022
Trumbull,No,35673,32587,91.35,30349,85.08,18894,52.96,09/21/2022
Union,No,839,577,68.77,541,64.48,365,43.5,09/21/2022
Vernon,Yes,29359,23865,81.29,22257,75.81,13589,46.29,09/21/2022
Voluntown,No,2510,1932,76.97,1833,73.03,1081,43.07,09/21/2022
Wallingford,No,44326,37152,83.82,34943,78.83,22716,51.25,09/21/2022
Warren,No,1395,1106,79.28,1017,72.9,636,45.59,09/21/2022
Washington,No,3428,3316,96.73,2860,83.43,1743,50.85,09/21/2022
Waterbury,Yes,107568,77746,72.28,70017,65.09,30816,28.65,09/21/2022
Waterford,Yes,18746,16478,87.9,15572,83.07,10266,54.76,09/21/2022
Watertown,No,21578,17044,78.99,16051,74.39,9528,44.16,09/21/2022
West Hartford,Yes,62965,60138,95.51,55394,87.98,37893,60.18,09/21/2022
West Haven,Yes,54620,42967,78.67,39319,71.99,21361,39.11,09/21/2022
Westbrook,No,6869,5976,87,5584,81.29,3760,54.74,09/21/2022
Weston,No,10252,9838,95.96,8885,86.67,6008,58.6,09/21/2022
Westport,No,28491,27240,95.61,24512,86.03,17000,59.67,09/21/2022
Wethersfield,No,26008,23428,90.08,22168,85.24,14327,55.09,09/21/2022
Willington,No,5864,4076,69.51,3812,65.01,2465,42.04,09/21/2022
Wilton,No,18343,17767,96.86,16145,88.02,10712,58.4,09/21/2022
Winchester,Yes,10604,7629,71.94,7165,67.57,4355,41.07,09/21/2022
Windham,Yes,24561,17313,70.49,15882,64.66,8412,34.25,09/21/2022
Windsor,No,28733,25095,87.34,23380,81.37,14603,50.82,09/21/2022
Windsor Locks,Yes,12854,9688,75.37,9039,70.32,5546,43.15,09/21/2022
Wolcott,No,16587,12416,74.85,11792,71.09,6652,40.1,09/21/2022
Woodbridge,No,8750,8337,95.28,7718,88.21,5395,61.66,09/21/2022
Woodbury,No,9502,7690,80.93,7289,76.71,4724,49.72,09/21/2022
Woodstock,No,7858,5880,74.83,5372,68.36,3178,40.44,09/21/2022
Address pending validation,,,12193,,9875,,3205,,09/21/2022
Andover,No,3236,2471,76.36,2367,73.15,1569,48.49,09/21/2022
Ansonia,Yes,18654,13533,72.55,12643,67.78,6898,36.98,09/21/2022
Ashford,No,4255,3117,73.25,2942,69.14,1899,44.63,09/21/2022
Avon,No,18276,17688,96.78,16412,89.8,11519,63.03,09/21/2022
Barkhamsted,No,3606,2836,78.65,2704,74.99,1808,50.14,09/21/2022
Beacon Falls,No,6222,4532,72.84,4287,68.9,2689,43.22,09/21/2022
Berlin,No,20436,16539,80.93,15696,76.81,10465,51.21,09/21/2022
Bethany,No,5548,4542,81.87,4280,77.14,2776,50.04,09/21/2022
Bethel,No,19800,16565,83.66,15306,77.3,9145,46.19,09/21/2022
Bethlehem,No,3402,2447,71.93,2306,67.78,1432,42.09,09/21/2022
Bloomfield,No,21211,18230,85.95,16893,79.64,10635,50.14,09/21/2022
Bolton,No,4884,4016,82.23,3811,78.03,2614,53.52,09/21/2022
Bozrah,No,2726,1870,68.6,1776,65.15,1157,42.44,09/21/2022
Branford,No,27900,23570,84.48,22044,79.01,15065,54,09/21/2022
Bridgeport,Yes,144399,108073,74.84,96183,66.61,40254,27.88,09/21/2022
Bridgewater,No,1635,1409,86.18,1305,79.82,865,52.91,09/21/2022
Bristol,Yes,59947,47154,78.66,44321,73.93,25788,43.02,09/21/2022
Brookfield,No,16973,14587,85.94,13543,79.79,8230,48.49,09/21/2022
Brooklyn,No,8272,5893,71.24,5459,65.99,3272,39.56,09/21/2022
Burlington,No,9704,7869,81.09,7539,77.69,5026,51.79,09/21/2022
Canaan,No,1053,1353,100,1238,100,790,75.02,09/21/2022
Canterbury,No,5079,3614,71.16,3413,67.2,2005,39.48,09/21/2022
Canton,No,10254,8470,82.6,7976,77.78,5434,52.99,09/21/2022
Chaplin,No,2239,1613,72.04,1504,67.17,927,41.4,09/21/2022
Cheshire,No,28937,25466,88,23945,82.75,16634,57.48,09/21/2022
Chester,No,4213,3405,80.82,3207,76.12,2267,53.81,09/21/2022
Clinton,No,12925,11516,89.1,10793,83.5,7192,55.64,09/21/2022
Colchester,No,15809,12924,81.75,12220,77.3,7977,50.46,09/21/2022
Colebrook,No,1400,1144,81.71,1072,76.57,697,49.79,09/21/2022
Columbia,No,5379,4214,78.34,4013,74.6,2673,49.69,09/21/2022
Cornwall,No,1362,1307,95.96,1184,86.93,791,58.08,09/21/2022
Coventry,No,12407,9734,78.46,9271,74.72,5894,47.51,09/21/2022
Cromwell,No,13839,12271,88.67,11674,84.36,7637,55.18,09/21/2022
Danbury,Yes,84694,73849,87.2,65851,77.75,30084,35.52,09/21/2022
Darien,No,21728,21093,97.08,18838,86.7,11790,54.26,09/21/2022
Deep River,No,4443,3879,87.31,3663,82.44,2543,57.24,09/21/2022
Derby,Yes,12339,12908,100,11250,91.17,5956,48.27,09/21/2022
Durham,No,7165,5905,82.41,5643,78.76,3867,53.97,09/21/2022
East Granby,No,5140,4240,82.49,3993,77.68,2494,48.52,09/21/2022
East Haddam,No,8997,7124,79.18,6654,73.96,4308,47.88,09/21/2022
East Hampton,No,12800,10196,79.66,9708,75.84,6338,49.52,09/21/2022
East Hartford,Yes,49872,41252,82.72,37935,76.06,19571,39.24,09/21/2022
East Haven,Yes,28569,20990,73.47,19483,68.2,11515,40.31,09/21/2022
East Lyme,No,18462,16631,90.08,15475,83.82,10705,57.98,09/21/2022
East Windsor,No,11668,8449,72.41,7835,67.15,4637,39.74,09/21/2022
Eastford,No,1790,1167,65.2,1102,61.56,678,37.88,09/21/2022
Easton,No,7521,6591,87.63,6062,80.6,3915,52.05,09/21/2022
Ellington,No,16467,13206,80.2,12383,75.2,7816,47.46,09/21/2022
Enfield,Yes,43659,30574,70.03,28317,64.86,15939,36.51,09/21/2022
Essex,No,6668,5973,89.58,5603,84.03,4080,61.19,09/21/2022
Fairfield,No,62045,52733,84.99,48247,77.76,31283,50.42,09/21/2022
Farmington,No,25497,24034,94.26,22391,87.82,15183,59.55,09/21/2022
Franklin,No,1920,1428,74.38,1356,70.62,869,45.26,09/21/2022
Glastonbury,No,34482,31871,92.43,29845,86.55,20981,60.85,09/21/2022
Goshen,No,2863,2282,79.71,2157,75.34,1420,49.6,09/21/2022
Granby,No,11507,9058,78.72,8495,73.82,5237,45.51,09/21/2022
Greenwich,No,62840,57369,91.29,50892,80.99,28537,45.41,09/21/2022
Griswold,Yes,11534,7754,67.23,7280,63.12,4235,36.72,09/21/2022
Groton,Yes,38436,28454,74.03,26016,67.69,15811,41.14,09/21/2022
Guilford,No,22133,20416,92.24,19126,86.41,13703,61.91,09/21/2022
Haddam,No,8193,7309,89.21,6917,84.43,4653,56.79,09/21/2022
Hamden,No,60556,47584,78.58,44009,72.67,28124,46.44,09/21/2022
Hampton,No,1842,1288,69.92,1205,65.42,810,43.97,09/21/2022
Hartford,Yes,122105,85601,70.1,75924,62.18,34434,28.2,09/21/2022
Hartland,No,2120,1356,63.96,1282,60.47,730,34.43,09/21/2022
Harwinton,No,5420,4203,77.55,3982,73.47,2615,48.25,09/21/2022
Hebron,No,9504,7719,81.22,7326,77.08,5003,52.64,09/21/2022
Kent,No,2777,2773,99.86,2452,88.3,1371,49.37,09/21/2022
Killingly,Yes,17336,11645,67.17,10853,62.6,5809,33.51,09/21/2022
Killingworth,No,6364,5328,83.72,5081,79.84,3512,55.19,09/21/2022
Lebanon,No,7144,5428,75.98,5146,72.03,3393,47.49,09/21/2022
Ledyard,No,14621,11990,82.01,11172,76.41,6863,46.94,09/21/2022
