Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Haddam,No,8193,6659,81.28,6175,75.37,,,12/22/2021
Hamden,No,60556,44299,73.15,40572,67,,,12/22/2021
Hampton,No,1842,1223,66.4,1126,61.13,,,12/22/2021
Hartford,Yes,122105,73282,60.02,63997,52.41,,,12/22/2021
Hartland,No,2120,1335,62.97,1219,57.5,,,12/22/2021
Harwinton,No,5420,4024,74.24,3722,68.67,,,12/22/2021
Hebron,No,9504,7357,77.41,6720,70.71,,,12/22/2021
Kent,No,2777,2576,92.76,2260,81.38,,,12/22/2021
Killingly,Yes,17336,10558,60.9,9606,55.41,,,12/22/2021
Killingworth,No,6364,5056,79.45,4660,73.22,,,12/22/2021
Lebanon,No,7144,5184,72.56,4791,67.06,,,12/22/2021
Ledyard,No,14621,11094,75.88,10137,69.33,,,12/22/2021
Lisbon,No,4220,2946,69.81,2743,65,,,12/22/2021
Litchfield,No,8094,6429,79.43,5843,72.19,,,12/22/2021
Lyme,No,2316,2160,93.26,1947,84.07,,,12/22/2021
Madison,No,18030,15956,88.5,14176,78.62,,,12/22/2021
Manchester,Yes,57584,43030,74.73,39077,67.86,,,12/22/2021
Mansfield,No,25487,11245,44.12,10220,40.1,,,12/22/2021
Marlborough,No,6335,5020,79.24,4622,72.96,,,12/22/2021
Meriden,Yes,59395,43306,72.91,39467,66.45,,,12/22/2021
Middlebury,No,7798,6237,79.98,5699,73.08,,,12/22/2021
Middlefield,No,4374,3367,76.98,3133,71.63,,,12/22/2021
Middletown,Yes,46258,36519,78.95,33399,72.2,,,12/22/2021
Milford,Yes,54747,41964,76.65,38578,70.47,,,12/22/2021
Monroe,No,19434,15394,79.21,14132,72.72,,,12/22/2021
Montville,Yes,18508,12751,68.89,11568,62.5,,,12/22/2021
Morris,No,2254,1644,72.94,1482,65.75,,,12/22/2021
Naugatuck,No,31108,21721,69.82,19850,63.81,,,12/22/2021
New Britain,Yes,72495,44438,61.3,40341,55.65,,,12/22/2021
New Canaan,No,20233,18917,93.5,16189,80.01,,,12/22/2021
New Fairfield,No,13878,10449,75.29,8950,64.49,,,12/22/2021
New Hartford,No,6656,5008,75.24,4624,69.47,,,12/22/2021
New Haven,Yes,130250,90058,69.14,79095,60.73,,,12/22/2021
New London,Yes,26858,18180,67.69,16239,60.46,,,12/22/2021
New Milford,No,26805,21373,79.74,19273,71.9,,,12/22/2021
Newington,No,30014,24029,80.06,22250,74.13,,,12/22/2021
Newtown,No,27891,22317,80.02,20279,72.71,,,12/22/2021
Norfolk,No,1630,1201,73.68,1080,66.26,,,12/22/2021
North Branford,No,14146,11452,80.96,10561,74.66,,,12/22/2021
North Canaan,No,3251,2046,62.93,1857,57.12,,,12/22/2021
North Haven,No,23683,21023,88.77,19443,82.1,,,12/22/2021
North Stonington,No,5196,3414,65.7,3198,61.55,,,12/22/2021
Norwalk,Yes,88816,72567,81.7,64196,72.28,,,12/22/2021
Norwich,Yes,38768,26521,68.41,23972,61.83,,,12/22/2021
Old Lyme,No,7306,6405,87.67,5803,79.43,,,12/22/2021
Old Saybrook,No,10061,9309,92.53,8380,83.29,,,12/22/2021
Orange,Yes,13926,11845,85.06,10825,77.73,,,12/22/2021
Oxford,No,13255,9818,74.07,9034,68.16,,,12/22/2021
Plainfield,Yes,15125,9165,60.6,8366,55.31,,,12/22/2021
Plainville,No,17534,12702,72.44,11764,67.09,,,12/22/2021
Plymouth,No,11598,7418,63.96,6915,59.62,,,12/22/2021
Pomfret,No,4203,3142,74.76,2740,65.19,,,12/22/2021
Portland,No,9267,7522,81.17,6879,74.23,,,12/22/2021
Preston,No,4625,3310,71.57,3100,67.03,,,12/22/2021
Prospect,No,9702,7112,73.3,6609,68.12,,,12/22/2021
Putnam,No,9389,5853,62.34,5252,55.94,,,12/22/2021
Redding,No,9116,7215,79.15,6382,70.01,,,12/22/2021
Resident out of state,,,131286,,79583,,,,12/22/2021
